rates

SECID;SHORTNAME;NAME;TYPENAME;ISIN;REGNUMBER;LISTLEVEL;FACEVALUE;FACEUNIT;ISSUESIZE;IS_COLLATERAL;IS_EXTERNAL;PRIMARY_BOARDID;PRIMARY_BOARD_TITLE;MATDATE;IS_RII;ISSUEDATE;EVENINGSESSION;DURATION;IS_QUALIFIED_INVESTORS;HIGH_RISK;COUPONFREQUENCY;YIELDATWAP;COUPONDATE;COUPONPERCENT;COUPONVALUE;COUPONDAYSPASSED;COUPONDAYSREMAIN;COUPONLENGTH;ISSUEDATE;INITIALFACEVALUE;SECSUBTYPE;STARTDATEMOEX;DAYSTOREDEMPTION;OFFERDATE;EMITENTNAME;INN;LOTSIZE;PRICE;PRICE_RUB;RTL1;RTH1;RTL2;RTH2;RTL3;RTH3;DISCOUNT1;LIMIT1;DISCOUNT2;LIMIT2;DISCOUNT3;DISCOUNTL0;DISCOUNTH0
RU000A0JS3L9;СПбТел 05;Санкт-Пет.Телеком АО обл. 05;Корпоративные облигации;RU000A0JS3L9;4-05-00740-D;3;1000,0;RUB;4000000;0;0;TQCB;Т+: Облигации - безадрес.;31.01.2022;;13.02.2012;0;101;0;0;2;7,1;31.01.2022;10,700;53,35;82;100;182;13.02.2012;1000,0;;2012-04-04;100;;"Акционерное общество ""Санкт-Петербург Телеком""";7815020097;1;100,81;1032,72;;2065,44;;2065,44;;2065,44;100,0;;;;;10,00;10,00
RU000A0JS3M7;СПбТел 04;Санкт-Пет.Телеком АО обл. 04;Корпоративные облигации;RU000A0JS3M7;4-04-00740-D;3;1000,0;RUB;3000000;0;0;TQCB;Т+: Облигации - безадрес.;31.01.2022;;13.02.2012;0;101;0;0;2;7,51;31.01.2022;5,700;28,42;82;100;182;13.02.2012;1000,0;;2012-04-04;100;;"Акционерное общество ""Санкт-Петербург Телеком""";7815020097;1;99,48;1007,92;;2015,84;;2015,84;;2015,84;100,0;;;;;10,00;10,00
RU000A0JS3U0;Башнефть04;"ПАО ""АНК ""Башнефть"" об. 04";Корпоративные облигации;RU000A0JS3U0;4-04-00013-A;3;1000,0;RUB;10000000;0;0;TQCB;Т+: Облигации - безадрес.;04.02.2022;;17.02.2012;0;104;0;0;2;6,62;04.02.2022;7,000;34,9;78;104;182;17.02.2012;1000,0;;2012-03-28;104;;"Публичное акционерное общество ""Акционерная нефтяная Компания ""Башнефть""";0274051582;1;100,06;1015,94;;2031,88;;2031,88;;2031,88;100,0;;;;;10,00;10,00
RU000A0JS470;ТГК-1 04;ТГК-1 ПАО обл.04;Корпоративные облигации;RU000A0JS470;4-04-03388-D;3;1000,0;RUB;2000000;0;0;TQCB;Т+: Облигации - безадрес.;14.02.2022;;27.02.2012;0;;0;0;2;;14.02.2022;6,400;31,91;68;114;182;27.02.2012;1000,0;;2012-04-09;114;;"Публичное акционерное общество ""Территориальная генерирующая компания №1""";7841312071;1;100,96;1021,87;;2043,74;;2043,74;;2043,74;100,0;;;;;10,00;10,00
RU000A0JS4J1;ЗСД 03;Запад.скор.диаметр АО об.03;Корпоративные облигации;RU000A0JS4J1;4-03-00350-D;1;1000,0;RUB;5000000;0;0;TQCB;Т+: Облигации - безадрес.;06.02.2032;;02.03.2012;0;;0;0;2;;18.02.2022;9,840;49,07;64;118;182;02.03.2012;1000,0;;2012-03-21;3758;;"Акционерное общество ""Западный скоростной диаметр""";7825392577;1;108,31;1100,89;847,69;1354,09;814,66;1387,12;781,63;1420,15;23,0;100000;26,0;500000;29,0;10,00;10,00
RU000A0JS4K9;ЗСД 04;Запад.скор.диаметр АО об.04;Корпоративные облигации;RU000A0JS4K9;4-04-00350-D;1;1000,0;RUB;5000000;0;0;TQCB;Т+: Облигации - безадрес.;06.02.2032;;02.03.2012;0;;0;0;2;;18.02.2022;9,840;49,07;64;118;182;02.03.2012;1000,0;;2012-03-21;3758;;"Акционерное общество ""Западный скоростной диаметр""";7825392577;1;114,01;1157,89;856,84;1458,94;822,1;1493,68;787,37;1528,41;26,0;100000;29,0;500000;32,0;10,00;10,00
RU000A0JS4L7;ЗСД 05;Запад.скор.диаметр АО об.05;Корпоративные облигации;RU000A0JS4L7;4-05-00350-D;1;1000,0;RUB;5000000;0;0;TQCB;Т+: Облигации - безадрес.;06.02.2032;;02.03.2012;0;;0;0;2;;18.02.2022;9,840;49,07;64;118;182;02.03.2012;1000,0;;2012-03-21;3758;;"Акционерное общество ""Западный скоростной диаметр""";7825392577;1;110,99;1127,69;;2255,38;;2255,38;;2255,38;100,0;;;;;10,00;10,00
RU000A0JS4Z7;ВЭБ.РФ 21;ВЭБ.РФ об. сер. 21;Корпоративные облигации;RU000A0JS4Z7;4-26-00004-T;1;1000,0;RUB;15000000;1;0;TQCB;Т+: Облигации - безадрес.;17.02.2032;;13.03.2012;0;131;0;0;2;8,03;01.03.2022;8,820;43,98;53;129;182;13.03.2012;1000,0;;2012-04-09;3769;2022-03-03;"государственная корпорация развития ""ВЭБ.РФ""";7750004150;1;100,24;1015,69;893,81;1137,57;863,34;1168,04;832,87;1198,51;12,0;300000;15,0;1500000;18,0;13,00;10,00
RU000A0JS5A7;МЕТАЛИНВ 5;МЕТАЛЛОИНВЕСТ ХК АО обл. 05;Корпоративные облигации;RU000A0JS5A7;4-05-25642-H;3;1000,0;RUB;10000000;0;0;TQCB;Т+: Облигации - безадрес.;07.03.2022;;19.03.2012;0;;0;0;2;;07.03.2022;0,010;0,05;47;135;182;19.03.2012;1000,0;;2012-04-23;135;;"Акционерное общество ""Холдинговая компания ""МЕТАЛЛОИНВЕСТ""";7705392230;1;97,21;972,11;583,27;1360,95;554,1;1390,12;524,94;1419,28;40,0;200000;43,0;1000000;46,0;10,00;10,00
RU000A0JS5B5;МЕТАЛИНВ 1;МЕТАЛЛОИНВЕСТ ХК АО обл. 01;Корпоративные облигации;RU000A0JS5B5;4-01-25642-H;3;1000,0;RUB;5000000;0;0;TQCB;Т+: Облигации - безадрес.;07.03.2022;;19.03.2012;0;;0;0;2;;07.03.2022;0,010;0,05;47;135;182;19.03.2012;1000,0;;2012-04-23;135;;"Акционерное общество ""Холдинговая компания ""МЕТАЛЛОИНВЕСТ""";7705392230;1;104,98;1049,81;;2099,62;;2099,62;;2099,62;100,0;;;;;13,00;10,00
RU000A0JS5E9;ВымпелКом1;Вымпел-Коммуникации ПАО обл.01;Корпоративные облигации;RU000A0JS5E9;4-01-00027-A;3;1000,0;RUB;2231;0;0;TQCB;Т+: Облигации - безадрес.;08.03.2022;;20.03.2012;0;136;0;0;2;;08.03.2022;6,200;30,92;46;136;182;20.03.2012;1000,0;;2012-05-10;136;;"Публичное акционерное общество ""Вымпел-Коммуникации""";7713076301;1;99,68;1004,95;;2009,9;;2009,9;;2009,9;100,0;;;;;10,00;10,00
RU000A0JS5F6;ВымпелКом4;Вымпел-Коммуникации ПАО обл.04;Корпоративные облигации;RU000A0JS5F6;4-04-00027-A;2;1000,0;RUB;590721;0;0;TQCB;Т+: Облигации - безадрес.;08.03.2022;;20.03.2012;0;136;0;0;2;;08.03.2022;6,200;30,92;46;136;182;20.03.2012;1000,0;;2012-05-10;136;;"Публичное акционерное общество ""Вымпел-Коммуникации""";7713076301;1;99,53;1003,45;;2006,9;;2006,9;;2006,9;100,0;;;;;10,00;10,00
RU000A0JS5L4;МЕТАЛИНВ 6;МЕТАЛЛОИНВЕСТ ХК АО обл. 06;Корпоративные облигации;RU000A0JS5L4;4-06-25642-H;3;1000,0;RUB;10000000;0;0;TQCB;Т+: Облигации - безадрес.;10.03.2022;;22.03.2012;0;;0;0;2;;10.03.2022;0,010;0,05;44;138;182;22.03.2012;1000,0;;2012-04-23;138;;"Акционерное общество ""Холдинговая компания ""МЕТАЛЛОИНВЕСТ""";7705392230;1;97,14;971,41;582,85;1359,97;553,7;1389,12;524,56;1418,26;40,0;200000;43,0;1000000;46,0;10,00;10,00
